new questions about attacking iraq ; is torturing terrorists necessary ? |||O O O O O O O O O O O 
begala well , we 'll debate that later on in the show . |||O O O O O O O O O O O O O 
we 'll have a couple of experts come out , so i 'll withhold my comments until then . |||O O O O O O O O O O O O O O O O O O O 
even as the secretary of homeland security was putting his people on high alert last month , a 30 - foot cuban patrol boat with four heavily armed men landed on american shores , utterly undetected by the coast guard secretary ridge now leads . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-TRI O O O O O O O O O O O O O O O 
now , why has our president placed homeland security in the hands of republican political hacks instead of professionals , by the way ? |||O O O O O O O O O O O O O O O O O O O O O O O O 
attorney general john ashcroft , for example , is a career politician . |||O O O O O O O O O O O O O 
he lost an election to a dead man . |||O O O B-TRI O O O O O 
tom ridge is another career politician who was passed over by mr. bush for the vice presidency . |||O O O O O O O O O O O O O O O O O O 
and deputy secretary of homeland security asa hutchinson is yet another career politician and a graduate of the disgraceful bob jones university . |||O O O O O O O O O O O O O O O O O O O O O O O 
apparently , mr. bush only turns to professionals when it 's really important , like political consulting . |||O O O O O O O O O O O O O O O O O O 
novak paul , as i understand your definition of a political -- of a professional politician based on that is somebody who is elected to public office . |||O O O O O O O O O O O O O O O O O O O O O O O B-TRI O O O O 
now in your administration , the clinton administration , there were these members of the cabinet who by your definition were professional politicians -- lloyd bentsen , les aspin , william s. cohen , janet reno , bruce babbitt , mike espy , dan glickman , norman mineta , henry cisneros , federico pena , bill richardson , richard riley , 12 of them , not to mention former democratic national chairman ron brown , and one of the great professional politicians of all time , bill daly . |||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
and you know what , they did a hell of a job for our country . |||O O O O O O O O O O O O O O O O 
and these bozos let four armed cubans land on our shores when they 're trying to make a high terrorist alert . |||O O O O O O O B-TRI O O O O O O O O O O O O O O 
our president has put homeland security in the hands of failed republican hacks . |||O O O O O O O O O O O O O O 
so it 's ok -- it 's ok to have professional politicians at the justice department and the pentagon ... |||O O O O O O O O O O O O O O O O O O O O 
begala janet reno was a career prosecutor . |||O O O O O O O O 
just a minute , let me finish my sentence , please . |||O O O O O O O O O O O O 
it 's ok to put democratic career politicians at the pentagon and the justice department if they 're democrats but not if they 're republicans , is that right ? |||O O O O B-TRI O O O O O O O O O O O O O O O O O O O O O O O O O 
no , the difference is janet reno was a career prosecutor . |||O O O O O O O O O O O O 
begala john ashcroft was n't half the woman that janet reno was . |||O O O O O O O O O O O O O 
another potential democratic presidential candidate pondered whether to run , and he made his announcement , and surprise , surprise , the answer was no . |||O O O O O O O O O O O O O O O O O O O O O O O O O O 
senator christopher dodd of connecticut made the announcement today that he would not be the 10th candidate for the nomination . |||O O O O O O O O O O O O O O O O O O O B-TRI I-TRI 
dodd is at least more credible than carol moseley - braun or dennis kucinich . |||O O O O O O O O O O O O O O O 
he explained he could better spend the next two years on homeland security , the economy and judicial nominations . |||O O O O O O O O O O O O O O O O O O B-TRI I-TRI 
